run_id,timestamp,note,img_size,batch_size,optimizer,lr,momentum,dropout,epochs,final_train_loss,final_val_loss,final_train_acc,final_val_acc,best_val_acc,best_epoch,weight_decay
1,2026-06-02 11:28,Erster run mit Baseline-Architektur,128,32,SGD,0.001,0.9,0.5,30,2.2503,2.224,0.1645,0.2126,0.2126,29,
2,2026-06-02 11:31,Ich habe die Lernrate von 0.001 auf 0.01 erhöht,128,32,SGD,0.01,0.9,0.5,30,1.9398,2.1268,0.2966,0.252,0.252,29,
3,2026-06-02 11:42,Epochs von 30 auf 80 erhöht,128,32,SGD,0.01,0.9,0.5,80,0.4555,3.9653,0.8489,0.252,0.2782,51,
4,2026-06-02 12:02,Epochs von 50 auf 50 angepasst,128,32,SGD,0.01,0.9,0.5,50,1.3277,2.4144,0.54,0.2835,0.2835,49,
5,2026-06-02 12:08,Learning rate von 0.01 auf 0.001 und Adam-Optimizer statt SGD,128,32,Adam,0.001,,0.5,50,0.4164,4.804,0.85,0.2441,0.273,15,
6,2026-06-02 13:00,Weight Decay 1e-4 als Regularisierung hinzugefügt,128,32,SGD,0.001,0.9,0.5,50,2.1998,2.18,0.1998,0.2047,0.21,30,0.0001
7,2026-06-02 13:12,"learning rate wieder von 0.001 auf 0.01, Adam-Optimizer zurück zu SGD, zusätzlich Weight Decay 1e-4 als Regularisierung hinzugefügt",128,32,SGD,0.01,0.9,0.5,50,1.2846,2.5935,0.5607,0.2283,0.2598,47,0.0001
8,2026-06-02 13:20,"IMG_SIZE von 128 auf 64 reduziert, um zu sehen, ob das Overfitting verringert wird",64,32,SGD,0.01,0.9,0.5,50,0.8575,2.8378,0.7096,0.2546,0.2598,31,0.0001
9,2026-06-02 13:27,weight_decay=1e-4 nochmal wieder raus nehmen,64,32,SGD,0.01,0.9,0.5,50,0.6984,3.1054,0.77,0.2073,0.2467,38,0.0
10,2026-06-04 14:52,"IMG_SIZE to 128, NUM_EPOCHS to 80 & ich habe Augmentation hinzugefügt - Erstmal nur RandomResizedCrop (leichter Zoom/Ausschnitt) + mildes ColorJitter",128,32,SGD,0.01,0.9,0.5,80,0.8864,2.9695,0.695,0.2651,0.2808,59,0.0
11,2026-06-04 15:32,Augmentation um HorizontalFlip und Rotation erweitert,128,32,SGD,0.01,0.9,0.5,80,1.5697,2.427,0.4717,0.2572,0.2598,74,0.0
12,2026-06-04 16:53,Best run,128,32,SGD,0.01,0.9,0.5,80,0.9432,2.9382,0.6777,0.2362,0.2756,32,0.0
13,2026-06-04 21:34,Best weighted run,128,32,SGD,0.01,0.9,0.5,80,0.8777,2.9628,0.7057,0.1969,0.2651,77,0.0
14,2026-06-08 17:05,Dropout von 0.5 auf 0.2 reduziert,128,32,SGD,0.01,0.9,0.2,80,0.4863,4.0213,0.8483,0.1916,0.252,54,0.0
